text,aspect,sentiment
mbak mas ramah,pelayanan,positif
desain interior kamar bagus,kamar,positif
aktivitas anak hanya kolam_renang,fasilitas,negatif
harga kamar murah sesuai,harga,positif
desain hotel tidak_asal,fasilitas,positif
harga satu juta ekspektasi ada kelebihan lain,harga,negatif
satpam tidak_sigap tidak_bantu menyebrang jalan,pelayanan,negatif
harga terjangkau sesuai fasilitas berikan,harga,positif
wifi bisa lebih kencang,fasilitas,negatif
kamar luas living_room kasur terpisah,kamar,positif
jalan menuju lokasi batu kasar belum_aspal,lokasi,negatif
pelayanan oke mudah,pelayanan,positif
sarapan tinggal ambil sesuka hati,sarapan,positif
bingung masuk lokasi,lokasi,negatif
lokasi dekat jalan_utama,lokasi,positif
fasilitas lengkap terutama kolam_renang asri menjadi alasan utama orang tertarik menginap hotel,fasilitas,positif
tambah staff parkir basemant,pelayanan,negatif
cari lokasi perlu teliti,lokasi,negatif
ada spaghetti singapore keren,sarapan,positif
banyak pepohonan nuansa alami,fasilitas,positif
parkir motor jauh,fasilitas,negatif
kecewa teh panas tidak_enak,sarapan,negatif
nyaman dekat masjid jogokariyan,lokasi,positif
kolam_renang tidak_ada air_panas,fasilitas,negatif
kamar nyaman kamar_mandi bersih,kamar,positif
harga hotel tidak_pas kantong,harga,negatif
lift tidak_ada ac,fasilitas,negatif
prokes oke pas ada acara disana,fasilitas,positif
pilihan menu set american continental tradisional,sarapan,positif
lokasi dekat kuburan,lokasi,negatif
ada hair_dryer setrika,kamar,positif
lengkap pilihan jamu jamu segar,sarapan,positif
ac bocor bersuara keras,kamar,negatif
tidak_nyaman banyak kecoa kecil kecoa jerman lewat setiap_saat,kamar,negatif
lokasi pinggir_jalan mudah ditemukan,lokasi,positif
staff sigap ramah hangat menjadi kesan melekat,pelayanan,positif
akses pusat_kota arah lembang mudah,lokasi,positif
puas pelayanan,pelayanan,positif
sound_system aula bagus,fasilitas,positif
makanan rasa perlu tingkatkan,sarapan,negatif
bau kamar apek,kamar,negatif
sarapan variatif,sarapan,positif
pelayanan bisa bahasa inggris,pelayanan,positif
tempat bermain anak kurang,fasilitas,negatif
antre lama,pelayanan,negatif
hotel ada starbucks,fasilitas,positif
ada air_panas air_dingin,kamar,positif
kamar_mandi ada bercak lengket,kamar,negatif
kekurangan tidak_ada keset kamar_mandi,kamar,negatif
harga tidak_wajar,harga,negatif
ac model kuno panas shower jet rusak heater lama panas,kamar,negatif
citarasa makanan oke suka menu sego_luwuk,sarapan,positif
harga cukup rendah murah,harga,positif
tarif masih oke,harga,positif
tim teknis cepat memperbaiki,pelayanan,positif
lokasi nylempit,lokasi,negatif
lengkap ada banyak menu indonesia,sarapan,positif
lebih_baik hotel lain anggaran sama,harga,negatif
jalan hotel padat,lokasi,negatif
taman luas,fasilitas,positif
dekat tempat_wisata,lokasi,positif
staff keamanan tukang parkir tidak_menghormati tamu,pelayanan,negatif
jauh pusat keramaian malioboro,lokasi,negatif
harga murah tidak_mahal,harga,positif
akses masuk hotel sulit gang sempit hanya cukup satu mobil,lokasi,negatif
jarak dekat,lokasi,positif
staff penuh perhatian,pelayanan,positif
harga terbaik,harga,positif
kolam_renang bersih ramah_anak,fasilitas,positif
bell_boy tidak_ada,pelayanan,negatif
terletak jalan jogokaryan berada meter masjid jogokaryan terkenal,lokasi,positif
luas kamar bagus kelas delux kamar_mandi cukup,kamar,positif
makanan variasi sampai bingung ambil mana,sarapan,positif
menu sarapan biasa tidak_lengkap,sarapan,negatif
jauh kota tidak_bisa kemana_mana,lokasi,negatif
kamar disteril ditempel stiker segel,kamar,positif
makanan resto oke enak,sarapan,positif
ada handuk lap tangan,kamar,positif
kotor kamar tidak_dibersihkan bawah kasur banyak sampah,kamar,negatif
bapak satpam ramah,pelayanan,positif
keren harga segitu,harga,positif
staff responsif,pelayanan,positif
sarapan setengah_sembilan banyak makanan habis,sarapan,negatif
terletak tengaj perumahan aksesbilitas sulit,lokasi,negatif
mahal kelas hostel,harga,negatif
hair_dryer rental sewa bayar tiga_lima_ribu,harga,negatif
resepsionis sering tidak_ada,pelayanan,negatif
parkir mobil luas,fasilitas,positif
kamar bunyi tikus,kamar,negatif
wifi lemot tidak_bisa dipakai,fasilitas,negatif
tidak_ada lift harus manual naik tangga,fasilitas,negatif
makanan ada resto bervariasi,sarapan,positif
hanya sarapan tidak_enak,sarapan,negatif
shower berfungsi baik,kamar,positif
petunjuk jalan nama hotel kecil,fasilitas,negatif
hanya kolam_renang kecil,fasilitas,negatif
ruang sauna kecil campur cowok cewek,fasilitas,negatif
akses jalan sempit bawa mobil,lokasi,negatif
protokol covid diutamakan,fasilitas,positif
banyak spot foto,fasilitas,positif
dapat bathtub,kamar,positif
kolam_renang tidak_seperti bayangkan,fasilitas,negatif
sprei ada noda minyak,kamar,negatif
kamar wow bersih,kamar,positif
lokasi tidak_kondusif,lokasi,negatif
peralatan fitness center cukup lengkap,fasilitas,positif
pelayanan baik,pelayanan,positif
tidak_sesuai harga dibayar,harga,negatif
ac kamar rusak tidak_dingin,kamar,negatif
mudah cari makan luar banyak jual makanan,lokasi,positif
makanan enak bersih menu ganti setiap_hari,sarapan,positif
mendapat kamar pemandangan diinginkan,kamar,positif
hotel tua perlu renovasi,fasilitas,negatif
waktu takjil buka_puasa makanan tidak_banyak pilihan,sarapan,negatif
harga kamar ideal,harga,positif
makanan tidak_enak tidak_niat,sarapan,negatif
susu segar bau rasa basi,sarapan,negatif
pelayanan perlu ditingkatkan,pelayanan,negatif
lokasi baik suka foto,lokasi,positif
makanan enak super lengkap mulai makanan indonesia sampai mancanegara,sarapan,positif
awal datang resepsionis lama,pelayanan,negatif
kecil kolam,fasilitas,negatif
lokasi hotel gabung tempat perbelanjaan memberikan nilai_plus,lokasi,positif
deposit mahal lima_ratus_ribu,harga,negatif
sarapan oke harga segitu,sarapan,positif
sarapan mahal,harga,negatif
roti keras tidak_baru,sarapan,negatif
harga minimalis murah,harga,positif
agak jauh jalan ketika belanja,lokasi,negatif
akses menuju kamar harus jalan_kaki menanjak,lokasi,negatif
debu lampu tidur,kamar,negatif
area parkir terbatas mobil,fasilitas,negatif
tidak_maximal pelayanan,pelayanan,negatif
prokes masa pandemi dilakukan disiplin,pelayanan,positif
kasur tidak_diganti,kamar,negatif
letak dekat malioboro deket kemana_mana,lokasi,positif
hotel bau tidak_wangi,fasilitas,negatif
prokes tidak_diterapkan,pelayanan,negatif
staff resepsionis cukup ramah bantu proses checkin checkout,pelayanan,positif
makanan variatif kids friendly,sarapan,positif
staff sopan,pelayanan,positif
harga kamar mahal,harga,negatif
penginapan kebun_binatang banyak kecoa semut hewan kecil dalam kamar,kamar,negatif
air kamar_mandi lancar,kamar,positif
sarapan variatif rasa,sarapan,positif
sewa bayar delapan_ribu handuk,harga,negatif
pelayanan perhatian menanyakan bagaimana makanan sudah coba apa saja,pelayanan,positif
staff jutek bentak_bentak marah,pelayanan,negatif
jalan menuju hotel sempit berliku,lokasi,negatif
tempat dekat pusat_kota tempat_wisata jogja,lokasi,positif
makanan tidak_enak tidak_ada rasa,sarapan,negatif
kamar besar ada bathtub ada sofa kasur,kamar,positif
murah meriah bisa makan sepuasnya,harga,positif
pelayanan kelas melati,pelayanan,negatif
mudah diakses dikelilingi coffee_shop,lokasi,positif
sarapan tidak_berwarna tidak_variasi tidak_seperti hotel bintang_tiga bintang_empat pada umumnya,sarapan,negatif
jamu lengkap segar,sarapan,positif
sinyal wifi hilang masuk kamar,fasilitas,negatif
shower air_panas normal,kamar,positif
banyak bekas bungkus kuaci,kamar,negatif
kamar_mandi sempit,kamar,negatif
sarapan bebas pilih menu,sarapan,positif
staff lambat memberikan keluhan,pelayanan,negatif
bangunan kamar kekinian,kamar,positif
baik staff,pelayanan,positif
hotel mahal sepuluh juta permalam,harga,negatif
resto memiliki suasana adem banyak tanaman,sarapan,positif
harga cukup sekelas hotel nyaman,harga,positif
ada makanan overcooked kelebihan bumbu,sarapan,negatif
meeting_point grab gofood jauh lobi,fasilitas,negatif
uang tidak_ada kabar refund,pelayanan,negatif
alat_makan disiapkan terpisah aman,sarapan,positif
pemandangan bagus,lokasi,positif
kamar kotor ada bungkus permen,kamar,negatif
terbaik bisa dinikmati bisa lihat gunung_merapi kamar sendiri,lokasi,positif
kamar_mandi dilengkapi bathtub bathsoap heat water hair_dryer lengkap,kamar,positif
sarapan prasmanan anak ada tambahan_biaya,harga,negatif
es jus hambar tidak_segar,sarapan,negatif
shuttle_bus gratis,harga,positif
masakan standar,sarapan,negatif
alat pembuat kopi teh tidak_berfungsi,kamar,negatif
harga cocok perjalanan backpacker,harga,positif
pemandangan kolam_renang lihat sunset,fasilitas,positif
makanan hanya pilih nasgor roti_bakar,sarapan,negatif
pemesanan konfirmasi hotel baik minta extend kamar cepat efisien,pelayanan,positif
ada anak kecoa prasmanan makanan,sarapan,negatif
sarapan setiap_hari beda menu,sarapan,positif
harga promo,harga,positif
wifi lancar waktu tertentu putus sendiri,fasilitas,negatif
kamar hotel suasana klasik simple ada bathtub,kamar,positif
pelayanan ramah efisien,pelayanan,positif
tempat_parkir lebih_baik diberi atap tidak_kehujanan,fasilitas,negatif
makanan minuman habis,sarapan,negatif
dekat cari makan banyak area hotel,lokasi,positif
lokasi jauh sulit pergi kemana_mana cari kendaraan,lokasi,negatif
hotel artistik dekorasi interior disajikan menarik,fasilitas,positif
cocok anggaran_rendah,harga,positif
resepsionis emosi,pelayanan,negatif
kamar_mandi bersih air_panas ideal,kamar,positif
sarapan tidak_memuaskan,sarapan,negatif
tidak_senyum sapa salam seperti lainnya,pelayanan,negatif
dekat stasiun pancol seberang mall paragon dekat tempat_kuliner enak,lokasi,positif
cocok backpacker,harga,positif
anak harus bayar tambahan_biaya makanan,harga,negatif
saluran_tv sedikit kualitas gambar buruk seperti analog,kamar,negatif
bangunan tua selot pintu rusak,fasilitas,negatif
kamar_mandi ada kran bawah wudhu,kamar,positif
tidak_rekomendasi pelancong,harga,negatif
overprice bintang_dua harga delapan_ratus_ribu,harga,negatif
dekat alun_alun_selatan,lokasi,positif
masuk tidak_ada ucapan welcome,pelayanan,negatif
sarapan semua enak,sarapan,positif
ada area playground,fasilitas,positif
harga hotel sama tambahan_biaya mahal tambahan_biaya,harga,negatif
harga relatif murah,harga,positif
hotel pusat_kota,lokasi,positif
sarapan enak enak,sarapan,positif
ekonomis hemat kantong,harga,positif
sarapan minimalis kelas bintang_lima,sarapan,negatif
staff satpam ob ramah tamu tidak_terkecuali,pelayanan,positif
kamar_mandi tidak_terawat handuk kusam warna dekil putih,kamar,negatif
suasana rumah tenang,lokasi,positif
layanan berkualitas tinggi,pelayanan,positif
minim tempat_parkir,fasilitas,negatif
harga mahal tidak_bersahabat,harga,negatif
kolam_renang banyak,fasilitas,positif
hotel lama akses jalan dibiarkan,lokasi,negatif
makanan mewah enak,sarapan,positif
harga tidak_termasuk perlengkapan_mandi minum,harga,negatif
arsitektur menarik,fasilitas,positif
lokasi strategis depan jalan alfamart indomaret dekat hotel,lokasi,positif
kamar minus tidak_ada kotak deposit brankas,kamar,negatif
tempat_makan enak sarapan,sarapan,positif
kamar luas nyaman kamar_mandi oke,kamar,positif
satff tidak_profesional,pelayanan,negatif
makanan sarapan tidak_enak hambar,sarapan,negatif
pelayanan memberi salam papasan,pelayanan,positif
pelayanan tidak_memuaskan satpam terang_terangan julid tamu depan keluarga,pelayanan,positif
pilihan makanan beragam aneka takjil kurma jenang sup_buah jajanan_pasar,sarapan,positif
sarapan disajikan tidak_segar,sarapan,negatif
hotel area ruko belakang rs,lokasi,negatif
keluhan ditangani baik,pelayanan,positif
sopan tamu,pelayanan,positif
letak dekat pusat_kota jogja,lokasi,positif
tempat_parkir lobi cukup jauh,fasilitas,negatif
lokasi asik dekat malioboro mall pasar bringharjo,lokasi,positif
air melimpah,kamar,positif
awal datang tidak_ada staff bantu angkat koper,pelayanan,negatif
sarapan rasa standar,sarapan,negatif
ada barang tertinggal checkout pihak hotel langsung wa foto barang tertinggal,pelayanan,positif
hotel tengah_kota suasana desa,lokasi,positif
ada wakeup pelayanan,pelayanan,positif
kamar oke kasur empuk,kamar,positif
tempat_parkir kecil,fasilitas,negatif
satpam tidak_bisa mengatur mobil drop_off penumpang,pelayanan,negatif
akomodasi ramah tengah kota dekat kawasan simpang_lima,lokasi,positif
bisa keliling hotel pakai sepeda hotel,fasilitas,positif
deposit dua juta,harga,negatif
resto tutup tidak_menerima order sarapan,sarapan,negatif
lokasi strategis jalan_besar mudah ditemukan,lokasi,positif
ada bathtub air tidak_menggenang tidak_becek tidak_licin,kamar,positif
lorong bau keluar lift tidak_ada fentilasi udara,fasilitas,negatif
remote ac tidak_ada,kamar,negatif
sarapan variatif ada jamu jus segar,sarapan,positif
checkin checkout cepat mudah,pelayanan,positif
harga kamar satu_juta tidak_sesuai,harga,negatif
paling suka minuman tradisional jamu,sarapan,positif
satu jam menunggu masuk kamar,pelayanan,negatif
sesuai range harga,harga,positif
pesan aplikasi harga terjangkau,harga,positif
ada outdoor playground anak_kecil,fasilitas,positif
penerangan kamar bagus,kamar,positif
jalan_jalan mall terjangkau dekat,lokasi,positif
sarapan bubur_ayam dingin,sarapan,negatif
staff tidak_ramah datang tidak_sambut,pelayanan,negatif
sarapan enak segar kualitas bahan menu lengkap,sarapan,positif
layanan makanan tidak_termasuk harga sewa kamar,harga,negatif
hotel kuno,fasilitas,negatif
lokasi sulit putar putar cari hotel,lokasi,negatif
bantal empuk,kamar,positif
makanan ada mentah,sarapan,negatif
akses mudah,lokasi,positif
alat_mandi harus sewa,harga,negatif
front_office tidak_mau terima saran terutama orang gendut,pelayanan,negatif
tidak_sopan tidak_ramah pelayanan resepsionis,pelayanan,negatif
handuk bekas dipakai tamu sebelum,kamar,negatif
hotel terhubung mall,lokasi,positif
sarapan prasmanan,sarapan,positif
fasilitas olahraga minimalis kolam_renang kecil kecewa,fasilitas,negatif
banyak kuliner murah sekitar hotel,lokasi,positif
staff segera mengirim pengganti cepat,pelayanan,positif
sarapan banyak variasi perut tidak_kuat coba,sarapan,positif
lantai kamar debu,kamar,negatif
pemandangan bagus arah kota,lokasi,positif
resepsionis menyambut senyum ramah menyapa,pelayanan,positif
dekat indomaret,lokasi,positif
makanan enak tidak_mengecewakan,sarapan,positif
harga relatif murah hotel sebaik itu,harga,positif
menelpon resepsionis membantu,pelayanan,positif
pelayanan mulai pengaturan parkir keluar masuk tidak_bantu,pelayanan,negatif
wifi layak cukup cepat,fasilitas,positif
makanan rasa datar,sarapan,negatif
tidak_diskon,harga,negatif
harga tidak_termasuk fasilitas tisu handuk keset,harga,negatif
jalanan menuju parkir sempit hanya bisa dilewati satu mobil,lokasi,negatif
staff resepsionis satpam houskeeping simpatik senang,pelayanan,positif
harga asik murah,harga,positif
staff abai,pelayanan,negatif
checkin awal dibilang kamar full,pelayanan,negatif
lokasi perlu lewat puncak terganggu macet,lokasi,negatif
area hotel luas,fasilitas,positif
menginap harga dua juta kamar kecil sempit lagi,harga,negatif
tidak_bisa checkin lebih awal pesan online,pelayanan,negatif
rooftop keren kumpul_kumpul,fasilitas,positif
dekat masjid hartono_mall toga_mas gudeg_gejayan,lokasi,positif
lokasi tidak_mendukung,lokasi,negatif
makanan habis langsung refill,pelayanan,positif
lift sempit kotor,fasilitas,negatif
harga ditawarkan sesuai fasilitas didapat,harga,positif
guava jus seperti jasjus rasa,sarapan,negatif
ada beberapa permainan outdoor,fasilitas,positif
masih dalam kota,lokasi,positif
kamar ada kecoa,kamar,negatif
hotel tidak_nyaman,fasilitas,negatif
villa harga mahal tidak_ekonomis,harga,negatif
garlic cheese enak,sarapan,positif
staff parkir tidak_ada,pelayanan,negatif
jalur cukup menantang tidak_ada lampu jalan cukup bahaya,lokasi,negatif
saluran_tv semut,kamar,negatif
kolam_renang seperti kolam_renang pribadi,fasilitas,positif
perhatikan kebersihan makanan,sarapan,negatif
pelayanan diberi setiap_saat,pelayanan,positif
makan_malam sering luar hotel,sarapan,negatif
perlakukan customer buruk,pelayanan,negatif
desain minimalis elegan,fasilitas,positif
staff mengatur parkir marah_marah,pelayanan,negatif
ada akses langsung mall jogja city mall,fasilitas,positif
gelas habis tidak_refill,pelayanan,negatif
sarapan banyak pilihan,sarapan,positif
hotel tidak_ada pencahayaan malam lampu tidak_terang,fasilitas,negatif
bagus desain modern,fasilitas,positif
sarapan jangan_ditanya,sarapan,positif
lokasi sulit,lokasi,negatif
nasgor asin,sarapan,negatif
masuk lewat gang kecil,lokasi,negatif
fasilitas banyak rusak terutama lift,fasilitas,negatif
harga tidak_sesuai,harga,negatif
shower air_panas dapat diatur,kamar,positif
makanan nikmat,sarapan,positif
sarapan minimalis,sarapan,negatif
olahan telur spicy salmon wrap mantap,sarapan,positif
menu kosong cepat diisi waktu sarapan habis,pelayanan,positif
pelayanan kaku,pelayanan,negatif
dekat terminal,lokasi,positif
makanan monoton tidak_ada variasi,sarapan,negatif
lobi luas terbuka nyaman instagrammable,fasilitas,positif
kamar ada colokan banyak,kamar,positif
arsitektur menarik mirip candi,fasilitas,positif
hotel harga cukup terjangkau,harga,positif
hotel ada fasilitas memetik buah taman hidroponik,fasilitas,positif
tidak_semua staff gemar sapa ada mas nabrak hanya melihat,pelayanan,negatif
sesuai harga pelayanan didapatkan,harga,positif
seragam staff cantik,pelayanan,positif
datang bagian resepsionis tidak_informasi detail fasilitas hotel,pelayanan,negatif
mobil tidak_panas pepohonan semilir angin,fasilitas,positif
hotel bersih,fasilitas,positif
booking room dkasih room ada orangnya,pelayanan,negatif
staff tidak_senyum banyak abai,pelayanan,negatif
ada galon koridor lantai,fasilitas,positif
harga kamar murah,harga,positif
wifi buruk suka putus_putus,fasilitas,negatif
harga standar fasilitas ada,harga,positif
lokasi tidak_diragukan pusat_kota,lokasi,positif
asik sarapan menu bebas msg,sarapan,positif
ada fasilitas kolam_renang air_panas air_dingin sauna fitness center,fasilitas,positif
pelayanan resepsionis lambat checkin,pelayanan,negatif
kolam_renang dalam perbaikan,fasilitas,negatif
lokasi jauh jalan_raya,lokasi,negatif
lokasi dekat lampu_merah macet padat,lokasi,negatif
menu buka_puasa cukup bervariasi,sarapan,positif
akses malioboro harus pakai grab,lokasi,negatif
pesan makanan hotel ada tambahan_biaya tiga_puluh_ribu,harga,negatif
kulkas karet kendor,kamar,negatif
dekat hotel jual banyak makanan,lokasi,positif
sate gosong mentah mengecewakan,sarapan,negatif
minuman alkohol lengkap,sarapan,positif
makanan mahal,harga,negatif
kamar tidak_dirapikan setiap_hari,pelayanan,negatif
kamar_mandi air menggenang,kamar,negatif
akustik gedung bagus cocok rapat besar koser musik,fasilitas,positif
hotel konsep go_green_environment baik,fasilitas,positif
ada rooftop kamar_renang anak suka pemandangan,fasilitas,positif
tidak_ada klub anak,fasilitas,negatif
kamar_mandi luas toilet duduk wastafel,kamar,positif
setiap_hari menu makanan berbeda tidak_bosan menyenangkan,sarapan,positif
staff hotel ramah berpapasan sopan,pelayanan,positif
handuk tidak_disediakan harus sewa,harga,negatif
tidak_ada kamar bilas setelah renang,fasilitas,negatif
sayang persediaan sarapan cepat habis ramai,sarapan,negatif
lokasi dekat kantor cabang perjalanan bisnis,lokasi,positif
ada kids playground anak bisa bermain,fasilitas,positif
jalan masuk agak kecil lebih_baik menggunakan google_maps,lokasi,negatif
alat kesehatan harga terjangkau,harga,positif
pelayanan makan tidak_tanggap,pelayanan,negatif
akses jalan proses pengerjaan,lokasi,negatif
ada makanan basi,sarapan,negatif
kunci kamar error tidak_bisa dibuka,kamar,negatif
kamar_mandi keadaan becek,kamar,negatif
lokasi dapat diakses google_maps,lokasi,positif
pelayanan oke mulai checkin checkout,pelayanan,positif
kolam_renang resto tutup covid,fasilitas,negatif
sprei kotor ada bercak,kamar,negatif
tidak_cocok bawa orang_tua akses kamar batu tangga,fasilitas,negatif
penampilan staff cantik,pelayanan,positif
harga hotel lebih_murah dibanding hotel lain,harga,negatif
makanan prasmanan rasa standar,sarapan,negatif
staff resto tidak_ramah,pelayanan,negatif
teko masak air kotor bau,kamar,negatif
kamar ranjang bau,kamar,negatif
sore ada dessert,sarapan,positif
sprei banyak tungau,kamar,negatif
ada lokasi golf kolam_renang pepohonan rindang tetap nyaman renang,fasilitas,positif
staff ramah selalu menyapa bila berpapasan,pelayanan,positif
hotel pelayanan baik,pelayanan,positif
makanan tidak_enak lidah,sarapan,negatif
makanan tidak_cocok lidah,sarapan,negatif
kamar luas ada sofa,kamar,positif
waktu refill makanan memakan waktu lama,pelayanan,negatif
staff hotel ramah tanggap,pelayanan,positif
makanan sederhana,sarapan,negatif
harga segitu tidak_pas,harga,negatif
pancuran shower rusak,kamar,negatif
jamu beras_kencur kunyit_asam mencuri perhatian,sarapan,positif
cocok menginap harga ramah_kantong,harga,positif
harga tidak_kuras kantong,harga,positif
tidak_ada transportasi umum sekitar lokasi,lokasi,negatif
lokasi tengah pemukiman sulit ditemukan,lokasi,negatif
dekat malioboro kraton,lokasi,positif
aroma sprei terlalu wangi bikin pusing,kamar,negatif
staff ramah ramah bantu,pelayanan,positif
parkir mobil terbatas,fasilitas,negatif
suka soto daging ayam lada hitam,sarapan,positif
parkir mobil gratis,harga,positif
tidak_ada kids play area,fasilitas,negatif
kamar bau apek bercak dinding,kamar,negatif
amenities lengkap ada handbody sisir alat_cukur,kamar,positif
harga murah kualitas kamar luas,harga,positif
hotel seram tidak_ada pencahayaan,fasilitas,negatif
jalan menuju lokasi terjal sempit,lokasi,negatif
wifi hanya bisa diakses lobi,fasilitas,negatif
harga kompetitif,harga,positif
susu sangat cair rasa seperti air_putih,sarapan,negatif
tempat masuk gang sulit dicari,lokasi,negatif
kolam_renang instagrammable asik foto,fasilitas,positif
makanan enak,sarapan,positif
pelayanan ramah profesional,pelayanan,positif
staff menjelaskan kelengkapan secara detail,pelayanan,positif
hotel ada fasilitas minimarket,fasilitas,positif
kolam_renang cantik nuansa tradisional romantis,fasilitas,positif
tidak_terlihat jalan_utama,lokasi,negatif
pintu hotel ada handsanitizer,fasilitas,positif
keseluruhan oke staff bagian depan pelayanan memuaskan,pelayanan,positif
lobi baik interior,fasilitas,positif
porsi lumayan banyak,sarapan,positif
staff respon lama,pelayanan,negatif
fasilitas lift tidak_memadai,fasilitas,negatif
rekomendasi nasgor iga porsi besar citarasa enak,sarapan,positif
harga super murah,harga,positif
lokasi terjal,lokasi,negatif
toilet engsel pintu rusak,kamar,negatif
hotel sebelah mall banyak makanan depan hotel,lokasi,positif
harus bayar parkir tidak_gratis,harga,negatif
pelayanan perhatian menanyakan ada saran,pelayanan,positif
lokasi pinggir_jalan suara kendaraan kedengaran kencang,lokasi,negatif
menuju hotel seperti mendaki gunung lewati lembah,lokasi,negatif
ada stand butik wanita,fasilitas,positif
air_panas dingin kamar_mandi mengalir baik,kamar,positif
hanya bawa satu roti tidak_boleh,sarapan,negatif
cara bicara penjaga tidak_sopan sombong,pelayanan,negatif
rebutan parkir,fasilitas,negatif
jalan_kaki_lima menit sampai malioboro legendaris kota jogja,lokasi,positif
kamar_mandi_luar tidak_ada privasi,kamar,negatif
parkir luas ada basement,fasilitas,positif
soto gorengan mantap,sarapan,positif
beli makan jauh,lokasi,negatif
hotel ramah staff,pelayanan,positif
pelayanan ramah baik,pelayanan,positif
shower air_panas lancar,kamar,positif
porsi makanan kecil,sarapan,negatif
dapat harga promo lima_ratus_ribu kamar hotel,harga,positif
seperti hotel tua,fasilitas,negatif
tiba_tiba ada buka pintu tim kebersihan,pelayanan,negatif
beli oleh_oleh dekat terjangkau jalan_kaki,lokasi,positif
lobi penuh tiga_puluh_tiga kamar tidak_siap,pelayanan,negatif
pelayanan diskriminatif,pelayanan,negatif
dapat kupon diskon makan,harga,positif
komunikasi bagian call_center sulit,pelayanan,negatif
sayang jauh keramaian maupun ojol,lokasi,negatif
amenities gratis,harga,positif
hotel mahal zonk,harga,negatif
roti_tawar habis,sarapan,negatif
harga tawarkan mahal,harga,negatif
akses jauh jalan besar mobil sulit masuk,pelayanan,negatif
resto tutup setelah sarapan,sarapan,negatif
kasur besar,kamar,positif
tidak_ada parkir motor,fasilitas,negatif
staff minta maaf,pelayanan,positif
lobi tersedia bahan bacaan koran majalah,fasilitas,positif
bersih ruangan kamar,kamar,positif
harga perlu ada promo,harga,negatif
staff hanya satu pelayanan terganggu,pelayanan,negatif
menu resto enak pas lidah,sarapan,positif
tempat cocok acara wedding,fasilitas,positif
overprice mahal,harga,negatif
pelayanan responsif cepat,pelayanan,positif
lokasi tidak_pinggir_jalan,lokasi,negatif
tempat_tidur cukup baik penerangan cukup baik,kamar,positif
keran toilet washer bocor,kamar,negatif
